Country,Total_Waves,Major_Waves_Count,Avg_Stability_Index,Total_Infected_In_Waves,Total_Infected_Pandemic,Pct_Cases_In_Waves,Total_Epidemic_Days
Denmark,9,3,0.61,3453037,3453037,100.00%,1109
Austria,11,4,0.72,5974100,5974100,100.00%,1103
Luxembourg,10,5,0.76,316422,318715,99.28%,1073
Israel,9,5,0.8,4769850,4805054,99.27%,1060
Argentina,7,3,0.71,9979816,10044957,99.35%,1055
Moldova,8,5,0.72,609299,611140,99.70%,1054
Bolivia,6,2,0.83,1188121,1194277,99.48%,1052
Italy,9,3,0.77,25552229,25603658,99.80%,1047
Germany,10,4,0.67,37783892,38249060,98.78%,1038
France,10,6,0.83,40193683,40319856,99.69%,1036
United Arab Emirates,6,2,0.71,1047261,1053213,99.43%,1030
Russia,7,2,0.7,21757262,22075858,98.56%,1025
Chile,9,2,0.6,4992123,5192286,96.14%,1022
Netherlands,9,5,0.79,8657568,8713629,99.36%,1010
Panama,7,5,0.83,986312,1031731,95.60%,1002
Serbia,7,5,0.79,2497991,2509562,99.54%,1001
US,8,4,0.77,99820754,103806564,96.16%,999
United Kingdom,10,3,0.62,24235673,24669643,98.24%,999
Armenia,6,5,0.93,445608,447308,99.62%,993
Bahrain,8,4,0.74,700994,710693,98.64%,980
Dominican Republic,6,1,0.7,647425,660790,97.98%,975
Ireland,9,3,0.72,1673200,1712940,97.68%,974
Switzerland,8,5,0.83,4389525,4413911,99.45%,969
Greece,8,5,0.82,5545581,5548487,99.95%,967
Czechia,9,4,0.71,4614553,4632136,99.62%,965
Belgium,10,4,0.7,4544286,4739365,95.88%,953
Sweden,8,3,0.71,2619924,2699339,97.06%,948
Montenegro,9,4,0.71,284829,288808,98.62%,947
Finland,7,1,0.65,1418910,1463644,96.94%,945
Peru,7,3,0.78,4452646,4561117,97.62%,941
Mexico,5,2,0.72,6878266,7484592,91.90%,931
Spain,8,4,0.76,13454116,13856900,97.09%,925
Turkey,8,5,0.77,16835381,17042722,98.78%,924
Slovenia,9,2,0.66,1322126,1331707,99.28%,917
North Macedonia,7,5,0.81,342692,346876,98.79%,911
Belize,6,4,0.85,70382,70757,99.47%,911
Guatemala,5,1,0.7,1101643,1238247,88.97%,904
Ukraine,5,4,0.93,5603006,5711929,98.09%,903
