Country,Wave_Number,Start_Date,Peak_Date,End_Date,Duration_Days,Peak_to_Onset_Amp,Peak_IA14,Infected_In_Wave,Stability_Index_S,Is_Major_Wave
Afghanistan,1,2021-03-08,2021-06-27,2021-11-06,243,58.18,58.71,100550,0.4,False
Albania,1,2020-05-19,2020-08-30,2020-09-23,127,63.22,68.09,11839,0.3,False
Albania,2,2020-09-24,2020-12-09,2021-01-06,104,285.05,351.5,48221,0.8,False
Albania,3,2021-01-07,2021-02-20,2021-07-13,187,244.58,500.79,71600,0.85,True
Albania,4,2021-07-14,2021-09-15,2021-10-23,101,408.26,406.18,48644,1.0,True
Albania,5,2021-12-16,2022-01-25,2022-03-25,99,654.86,790.75,68691,1.0,True
Albania,6,2022-06-01,2022-07-27,2022-11-30,182,513.49,521.81,57242,1.0,True
Argentina,1,2020-02-25,2020-10-20,2020-12-14,293,417.93,417.86,1503222,1.0,True
Argentina,2,2020-12-15,2021-01-20,2021-03-03,78,127.36,312.07,623309,0.5,False
Argentina,3,2021-03-04,2021-06-01,2021-10-17,227,712.25,890.26,3146020,1.0,True
Argentina,4,2021-12-04,2022-01-22,2022-04-21,138,2813.75,2797.86,3723231,1.0,True
Argentina,5,2022-04-22,2022-06-05,2022-07-04,73,152.22,188.63,333403,0.45,False
Argentina,6,2022-07-05,2022-08-04,2022-11-12,130,56.36,191.11,325906,0.25,False
Argentina,7,2022-11-13,2023-01-03,2023-03-09,116,247.48,248.5,324725,0.8,False
Armenia,1,2020-02-22,2020-06-30,2020-09-06,197,267.78,267.33,44783,0.9,True
Armenia,2,2020-09-07,2020-11-08,2021-02-11,157,812.99,873.65,123893,1.0,True
Armenia,3,2021-02-12,2021-04-08,2021-06-17,125,354.47,422.04,55324,0.95,True
Armenia,4,2021-06-18,2021-11-01,2021-12-30,195,772.95,805.0,120826,1.0,True
Armenia,5,2021-12-31,2022-02-11,2022-04-02,92,1007.32,1030.03,77737,1.0,True
Armenia,6,2022-06-03,2022-09-12,2023-01-16,227,152.77,154.04,23045,0.75,False
Australia,1,2021-06-02,2021-10-17,2021-12-03,184,120.1,120.57,186463,0.45,False
Australia,2,2021-12-04,2022-01-20,2022-02-25,83,3957.26,3922.62,2983417,1.0,True
Australia,3,2022-02-26,2022-04-07,2022-05-05,68,1676.06,2894.26,3001059,0.8,False
Australia,4,2022-06-21,2022-07-24,2022-10-19,120,735.84,2294.32,2458996,0.75,False
Australia,5,2022-10-20,2022-12-15,2023-03-09,140,573.64,830.57,1085768,1.0,True
Austria,1,2020-02-20,2020-04-04,2020-05-28,98,72.7,70.34,16500,0.4,False
Austria,2,2020-05-29,2020-11-20,2021-02-08,255,912.9,917.1,403182,1.0,True
Austria,3,2021-02-09,2021-04-02,2021-07-03,144,249.57,462.93,226549,0.8,False
Austria,4,2021-07-04,2021-09-20,2021-10-03,91,255.2,272.86,96944,0.55,False
Austria,5,2021-10-04,2021-11-25,2021-12-26,83,1463.69,1721.83,515149,1.0,True
Austria,6,2021-12-27,2022-02-18,2022-02-19,54,4325.5,4812.68,1178830,0.4,False
Austria,7,2022-02-20,2022-03-21,2022-06-01,101,1106.17,5918.52,1852835,0.8,False
Austria,8,2022-06-02,2022-07-20,2022-09-04,94,1303.57,1692.71,676021,1.0,True
Austria,9,2022-09-05,2022-10-13,2022-11-22,78,1092.41,1764.95,571608,1.0,True
Austria,10,2022-11-23,2022-12-17,2023-01-20,58,116.95,724.5,227158,0.4,False
Austria,11,2023-01-21,2023-02-18,2023-03-09,47,292.06,687.11,209324,0.55,False
Azerbaijan,1,2020-04-26,2020-07-10,2020-09-25,152,66.16,72.5,38170,0.5,False
Azerbaijan,2,2020-09-26,2020-12-12,2021-02-12,139,504.73,519.11,192053,1.0,True
Azerbaijan,3,2021-02-13,2021-04-16,2021-07-01,138,263.87,276.05,104282,0.9,True
Azerbaijan,4,2021-07-02,2021-09-02,2021-10-08,98,440.45,443.28,154008,1.0,True
Azerbaijan,5,2021-10-09,2021-11-11,2022-01-04,87,131.63,288.25,128235,0.45,False
Azerbaijan,6,2022-01-05,2022-02-14,2022-04-03,88,603.0,664.13,173696,0.95,True
Azerbaijan,7,2022-06-11,2022-08-26,2022-11-16,158,67.19,67.71,31020,0.5,False
Bahamas,1,2020-06-26,2020-09-01,2020-09-05,71,207.98,204.3,2372,0.3,False
Bahamas,2,2020-09-06,2020-10-17,2020-12-22,107,108.25,312.16,5296,0.9,True
Bahamas,3,2021-01-25,2021-05-06,2021-06-20,146,148.67,184.64,4194,0.75,False
Bahamas,4,2021-06-21,2021-08-25,2021-12-01,163,319.7,413.96,10555,0.95,True
Bahamas,5,2021-12-02,2022-01-15,2022-03-09,97,1036.04,1043.31,10378,1.0,True
Bahamas,6,2022-03-10,2022-06-06,2022-10-25,229,170.22,177.83,4184,0.75,False
